,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,under-five deaths ,Total expenditure,GDP,Income composition of resources
76,74.2,151.0,0,7.16,1158.065259,0,4.53,9739.82556,0.0
77,74.0,153.0,0,7.21,927.4075855,0,4.41,9386.716452,0.0
78,73.8,154.0,0,7.51,163.7676978,0,4.48,9358.154162,0.0
79,73.6,156.0,0,7.27,1127.74347,0,4.13,9875.161736,0.0
81,76.2,118.0,8,7.93,847.3717463,9,4.79,12245.25645,0.825
82,76.0,119.0,8,8.28,1001.796332,10,4.99,12976.63642,0.823
83,75.9,12.0,9,8.35,1133.558003,10,5.2,12969.7712,0.822
84,75.7,12.0,9,8.11,1504.329462,10,5.89,12726.9836,0.816
85,75.5,121.0,10,8.15,187.610955,11,6.55,1276.265,0.802
86,75.6,126.0,10,8.33,1398.042623,11,7.63,8161.36966,0.794
87,75.4,126.0,10,8.41,1413.73543,11,6.66,8953.359275,0.792
88,74.8,129.0,10,8.16,1105.659031,12,6.49,7193.61764,0.788
89,75.2,127.0,11,7.75,961.1774676,12,6.68,5878.76127,0.782
90,74.9,127.0,11,7.53,96.16653429,12,6.85,576.883829,0.78
91,74.7,13.0,11,7.63,719.3663797,12,6.84,4251.574348,0.775
92,74.1,137.0,11,7.62,57.58467352,13,8.22,333.4376,0.77
93,74.1,138.0,12,7.81,470.1869145,13,8.31,2579.193168,0.776
94,74.0,138.0,12,7.76,123.0128671,13,9.38,717.694674,0.771
95,74.1,137.0,12,7.68,1349.025282,14,9.21,7669.273916,0.764
97,74.6,12.0,1,3.91,295.6087143,1,4.48,3994.712355,0.739
98,74.4,123.0,1,3.79,279.4290812,1,4.55,3843.591213,0.736
99,74.4,121.0,1,3.89,274.1526986,1,4.48,3684.8481,0.732
100,73.9,128.0,1,4.09,260.9963826,1,3.71,3526.978143,0.729
101,73.5,132.0,1,4.23,224.3212014,1,4.56,3218.381655,0.72
102,73.3,137.0,1,3.96,201.1855461,1,4.55,2993.832531,0.725
103,73.2,14.0,1,3.96,2.8888979,1,3.8,41.26997,0.721
104,73.5,132.0,1,3.99,44.57219966,1,4.31,3138.8873,0.707
105,72.9,141.0,1,4.01,244.5352767,1,4.58,2158.299,0.692
106,73.0,137.0,1,4.25,20.21822828,1,5.25,1643.758397,0.679
107,73.0,132.0,1,3.81,97.74087744,1,5.5,1191.96192,0.668
108,72.7,134.0,1,3.03,7.341493148,1,5.56,93.1661567,0.657
109,72.6,134.0,1,2.86,57.17810403,1,5.4,783.261699,0.645
110,72.6,141.0,1,2.86,53.19373012,1,5.94,694.435119,0.644
111,72.0,142.0,1,2.9,32.75626853,1,6.25,622.7427477,0.639
145,72.5,119.0,5,0.01,306.1824313,6,6.4,7891.299776,0.752
146,72.2,121.0,5,2.14,275.6514934,6,5.54,7875.756953,0.745
147,71.9,123.0,5,0.01,285.6103912,6,5.37,7496.335728,0.742
148,71.6,125.0,5,1.98,263.142699,6,5.1,7189.691229,0.741
149,71.1,13.0,5,1.98,246.5686008,6,5.33,5842.85784,0.737
150,78.0,132.0,6,2.1,22.48638351,6,5.85,495.294791,0.728
151,73.0,141.0,6,1.18,206.2616134,6,4.37,5574.6382,0.719
152,73.0,14.0,6,1.02,176.0107106,7,5.1,3851.437869,0.708
153,69.2,154.0,6,0.85,105.6337264,7,6.17,2473.85776,0.682
154,68.4,162.0,6,0.73,81.28883085,7,7.86,1578.4239,0.675
155,68.4,154.0,6,0.62,8.59680496,8,7.92,145.2163,0.668
156,67.8,154.0,7,0.55,42.41491183,8,6.56,883.6439965,0.659
157,67.8,146.0,7,0.55,39.33253687,9,4.47,763.73858,0.651
158,67.5,151.0,8,0.51,4.104190077,10,4.48,73.6838434,0.642
159,66.6,16.0,9,0.65,35.09462644,11,4.67,655.974326,0.636
177,76.8,7.0,0,1.57,367.2556742,0,4.98,24983.3792,0.82
178,76.7,7.0,0,1.65,3.968695982,0,4.69,251.18329,0.815
179,76.5,71.0,0,1.7,2211.215778,0,4.37,23649.36661,0.812
180,76.1,76.0,0,1.66,197.7734681,0,3.4,2281.1242,0.812
181,76.1,73.0,0,1.93,266.7696122,0,3.64,2722.1389,0.81
182,76.0,74.0,0,1.95,332.9347646,0,3.79,19356.67236,0.814
183,75.8,76.0,0,2.0,231.5478912,0,3.17,2367.56535,0.815
184,75.6,77.0,0,2.0,278.3602806,0,3.8,2977.1153,0.813
185,75.5,79.0,0,2.1,170.7374027,0,3.8,1937.99549,0.81
186,75.3,81.0,0,2.05,1553.468944,0,3.16,17959.17854,0.806
187,75.2,83.0,0,2.16,1380.228095,0,3.37,15846.47641,0.803
188,75.0,85.0,0,2.16,1214.558167,0,3.74,14221.99259,0.798
189,74.9,87.0,0,1.99,106.4303336,0,3.89,1312.33457,0.796
190,74.7,9.0,0,1.95,1150.418063,0,3.8,12868.211,0.794
191,74.5,92.0,0,2.15,167.7270642,0,3.51,13636.34668,0.786
193,71.4,132.0,98,0.01,10.44640334,121,2.82,184.56543,0.57
194,71.0,135.0,104,0.01,52.82986467,130,2.88,951.8894535,0.565
195,77.0,137.0,111,0.01,59.2589257,139,3.8,856.342857,0.557
196,73.0,14.0,118,0.01,62.34988484,150,3.16,835.789341,0.545
197,69.9,142.0,126,0.01,62.65945432,161,3.6,757.6717572,0.535
198,69.5,144.0,135,0.01,53.26400378,173,2.91,681.125368,0.523
199,69.1,147.0,144,0.01,42.48865034,186,2.85,615.7775411,0.52
200,68.6,151.0,154,0.01,46.36536703,201,2.8,541.651484,0.513
201,68.2,152.0,164,0.01,42.3304549,215,2.8,494.51466,0.506
202,67.8,155.0,174,0.01,38.05462002,231,2.68,484.155471,0.499
203,67.3,158.0,185,0.01,4.11469667,247,2.62,46.7579167,0.491
204,66.8,161.0,196,0.01,35.48458957,264,2.51,432.7388972,0.484
205,66.3,164.0,207,0.01,0.397228764,280,2.59,4.6135745,0.476
206,65.8,168.0,219,0.01,3.395069781,298,2.47,42.5981152,0.468
207,65.3,173.0,231,0.01,3.69633051,316,2.33,45.63371,0.459
209,75.4,1.0,0,8.82,294.9056584,0,7.47,15359.66971,0.793
210,75.2,11.0,0,8.74,263.0372838,0,7.57,15472.7814,0.792
211,75.1,12.0,0,8.61,260.0043858,0,7.43,15384.8749,0.785
212,74.9,14.0,0,8.51,173.9825629,0,6.67,15534.1574,0.78
213,74.7,16.0,0,8.41,154.9630863,0,6.17,1595.91232,0.781
214,74.6,19.0,0,8.46,327.1618128,0,6.21,16523.32388,0.779
215,74.4,111.0,0,8.95,25.52277112,0,6.1,1657.3228,0.775
216,74.2,113.0,0,8.47,1641.30981,0,5.64,16462.48556,0.771
217,74.1,115.0,0,8.39,181.5000856,0,5.27,15646.5591,0.766
218,73.9,117.0,0,8.01,1311.440423,0,5.38,14223.86576,0.761
219,73.8,119.0,0,7.68,166.0083443,0,5.71,12868.8639,0.757
220,73.7,121.0,0,7.65,13.5139917,0,5.82,1228.5447,0.753
221,73.5,123.0,0,7.59,133.099491,0,5.76,11675.39395,0.749
222,73.4,125.0,0,7.38,138.1664627,0,5.47,11513.87189,0.75
223,73.3,127.0,0,7.43,1140.615754,0,5.16,11568.1111,0.741
225,72.0,199.0,0,13.94,1147.1114,0,5.69,8318.429294,0.796
226,71.7,23.0,0,14.66,1109.854619,1,6.7,7978.825443,0.796
227,71.9,194.0,0,16.35,91.70962117,1,5.1,694.243915,0.793
228,72.0,232.0,0,17.31,846.9113071,1,4.92,6519.71753,0.787
229,73.0,222.0,0,14.44,8.49409518,1,5.55,63.38877,0.78
230,70.0,226.0,0,14.09,434.7985025,1,6.9,5176.172649,0.771
231,70.0,224.0,1,14.67,501.8056141,1,5.95,6376.183153,0.755
232,69.8,226.0,1,14.22,464.077513,1,6.44,4735.484827,0.739
233,68.9,243.0,1,12.6,364.426052,1,6.34,3848.215966,0.723
234,68.1,252.0,1,11.01,45.65007798,1,6.89,3126.71767,0.713
235,68.2,247.0,1,12.05,42.33443901,1,6.59,2378.33927,0.703
236,67.7,253.0,1,11.17,23.83578594,1,6.59,1819.525644,0.695
237,67.2,262.0,1,12.23,145.4233629,1,6.47,1479.383142,0.687
238,67.7,254.0,1,10.74,14.06141699,1,6.62,1244.373185,0.681
239,68.0,247.0,1,12.98,24.24947846,1,6.13,1276.28834,0.675
257,70.0,177.0,0,6.58,670.0920883,0,5.79,4852.223666,0.705
258,69.8,18.0,0,6.56,629.2018591,0,5.79,4688.538443,0.706
259,69.4,189.0,0,6.66,582.8027185,0,5.45,4673.63848,0.702
260,69.4,188.0,0,6.64,605.6286892,0,5.61,4516.24675,0.7
261,69.5,186.0,0,6.76,569.9527122,0,5.85,4344.15177,0.7
262,69.5,184.0,0,6.85,549.8096097,0,5.81,4258.788611,0.7
263,69.6,181.0,0,7.22,51.25232422,0,5.9,447.22796,0.699
264,69.6,181.0,0,7.24,69.63051047,0,4.76,4324.876427,0.7
265,69.4,184.0,0,6.48,387.3324928,0,4.4,4187.3783,0.692
266,69.0,191.0,0,6.25,365.799896,0,4.45,3933.332215,0.695
267,68.7,197.0,0,6.2,325.6807462,0,4.39,3831.53819,0.691
268,68.4,21.0,0,5.67,312.7995946,0,4.53,3679.99523,0.684
269,68.5,199.0,0,4.99,262.8299189,0,4.38,3556.561825,0.678
270,68.2,21.0,0,4.9,251.6586929,0,4.5,3419.275719,0.677
271,68.3,196.0,0,4.79,219.0239836,0,3.98,3364.423711,0.668
273,59.7,252.0,25,0.01,90.12206791,39,4.59,943.686575,0.475
274,59.5,251.0,25,0.01,87.4080423,39,4.59,915.2674586,0.466
275,59.3,251.0,25,0.01,9.80407467,39,4.86,837.9551,0.458
276,59.1,251.0,25,1.4,110.2633619,39,5.37,825.9427854,0.454
277,58.7,254.0,25,1.33,94.25737917,39,4.95,757.695974,0.451
278,58.4,259.0,25,1.16,71.01399249,39,4.46,793.45243,0.448
279,57.6,278.0,25,1.28,7.615430126,39,4.2,82.1513498,0.444
280,57.1,283.0,25,1.12,7.49281752,39,4.55,76.535419,0.438
281,56.8,284.0,25,1.19,75.91429496,39,4.75,625.8392,0.434
282,56.5,285.0,25,1.13,7.106997355,39,4.73,61.799977,0.43
283,56.1,285.0,25,1.15,10.73628066,39,4.56,583.493514,0.423
284,55.8,285.0,25,1.35,8.931827297,40,4.63,519.2922847,0.416
285,55.6,283.0,25,1.23,40.48815233,40,4.27,418.6985763,0.407
286,55.5,281.0,25,1.29,45.33476384,40,4.69,378.73654,0.395
287,55.4,279.0,25,1.34,37.38182018,40,4.34,374.1923942,0.389
289,69.4,216.0,0,0.01,209.3921344,1,3.57,2522.7968,0.596
290,69.1,219.0,0,0.01,19.79057439,1,3.83,235.882889,0.589
291,68.7,223.0,0,0.01,188.7373664,1,3.7,2422.816,0.581
292,68.3,225.0,0,0.23,289.8524057,1,4.73,2458.45976,0.572
293,67.9,228.0,1,0.28,244.0391949,1,5.17,2178.921383,0.0
294,67.4,232.0,1,0.17,27.48907048,1,6.3,177.234497,0.0
295,67.0,234.0,1,0.21,302.667579,1,6.58,1795.18137,0.0
296,66.5,238.0,1,0.16,283.806236,1,5.88,1741.142552,0.0
297,65.8,245.0,1,0.29,169.2023968,1,5.27,1335.45696,0.0
298,65.0,254.0,1,0.73,145.5965445,1,5.28,1247.61392,0.0
299,64.2,263.0,1,0.96,2.586698228,1,4.41,197.45788,0.0
300,63.3,273.0,1,0.52,19.15664091,1,4.9,997.7417141,0.0
301,62.5,282.0,1,0.29,151.9755193,1,7.75,885.6382245,0.0
302,61.7,29.0,1,0.14,8.574029812,1,5.91,87.9387673,0.0
303,62.0,312.0,1,0.17,93.35872844,1,6.91,765.8632358,0.0
321,77.2,89.0,0,4.03,732.8662491,0,9.57,5193.94932,0.742
322,77.0,9.0,0,4.12,75.61062911,0,9.46,535.86555,0.735
323,76.8,92.0,0,4.61,693.8226461,0,9.94,4716.673325,0.728
324,76.9,92.0,0,4.64,7.959131146,0,9.71,55.156834,0.711
325,76.4,94.0,0,4.54,630.3883564,0,9.58,4611.47298,0.717
326,76.1,97.0,0,4.75,645.021302,0,9.64,4697.89732,0.716
327,76.0,98.0,0,5.13,66.04635027,0,8.58,575.31664,0.71
328,75.4,16.0,0,5.16,8.240355867,0,8.37,418.292176,0.703
329,75.7,1.0,0,4.82,38.25414065,0,8.28,344.321698,0.697
330,75.0,12.0,0,4.56,45.71354264,0,8.5,2968.41186,0.0
331,75.5,99.0,0,4.25,3.479918859,0,9.4,265.642661,0.0
332,75.2,12.0,0,4.14,39.86518043,0,7.94,2214.732246,0.0
333,75.4,11.0,0,3.84,151.1399301,0,7.1,1761.537647,0.0
334,74.9,113.0,0,3.85,143.2947487,0,7.16,1524.41222,0.0
335,74.6,116.0,0,3.64,165.6168642,0,7.9,1461.7552,0.0
337,65.1,268.0,2,0.01,662.802194,2,5.41,7497.762376,0.697
338,64.2,286.0,2,0.01,1.117811275,2,5.84,77.625783,0.693
339,63.4,3.0,2,0.01,12.83447357,3,6.27,729.231453,0.687
340,62.2,325.0,2,5.76,668.9562854,3,5.25,7645.21469,0.678
341,61.1,349.0,2,5.99,547.0386679,3,5.64,6346.15624,0.669
342,59.2,393.0,2,5.01,426.7855662,3,6.39,5185.729845,0.661
343,57.5,427.0,2,6.56,476.8625872,3,5.55,5623.379566,0.646
344,56.9,436.0,2,6.21,512.5887995,3,4.71,5714.47937,0.63
345,54.8,491.0,2,6.45,76.31867911,3,4.93,5374.554867,0.61
346,51.7,566.0,2,6.37,629.8425643,3,5.62,5351.253732,0.593
347,48.1,652.0,2,4.9,469.5823898,4,5.56,4896.583835,0.58
348,46.4,693.0,2,5.51,299.3671252,4,4.65,4163.6596,0.567
349,46.0,699.0,2,6.41,6.3300072,4,6.47,355.618382,0.558
350,46.7,679.0,2,5.48,306.9527349,4,5.73,3128.97793,0.56
351,47.8,647.0,2,5.37,250.8916484,4,4.64,3349.68823,0.559
353,74.8,144.0,44,7.32,83.16465362,49,8.32,1226.61731,0.747
354,74.7,146.0,46,7.24,916.270845,52,8.48,12216.9446,0.734
355,74.5,148.0,49,7.55,843.1946259,54,8.26,12291.46685,0.73
356,74.1,152.0,51,7.58,1084.999766,57,8.9,13167.47289,0.724
357,73.8,154.0,54,7.52,1111.191325,61,8.27,11224.1548,0.716
358,73.6,157.0,57,7.33,564.5233902,64,8.65,8553.3847,0.714
359,73.4,158.0,61,7.21,526.3780636,68,8.24,8787.61375,0.704
360,73.3,159.0,65,7.19,394.9321299,73,8.28,7313.557962,0.7
361,73.0,161.0,70,7.1,30.30374691,79,8.36,586.145975,0.698
362,72.7,163.0,75,6.97,23.76370075,85,8.27,477.182746,0.694
363,72.0,17.0,81,6.85,186.6090485,93,7.7,3623.47667,0.695
364,71.8,172.0,88,6.95,15.85781237,100,6.94,359.587582,0.699
365,71.4,176.0,95,7.0,140.9824766,109,7.13,2819.649531,0.692
366,71.0,179.0,103,7.13,149.4802091,118,7.19,3146.95177,0.685
367,75.0,183.0,111,7.26,179.4777293,127,7.3,3739.11936,0.677
369,77.6,8.0,0,0.01,269.1432784,0,2.65,4159.8652,0.863
370,77.1,84.0,0,0.01,2845.306444,0,2.61,44597.27968,0.86
371,78.3,79.0,0,0.01,3192.634413,0,2.3,47651.2599,0.852
372,77.4,79.0,0,0.97,295.7730171,0,2.25,4717.273,0.846
373,76.9,79.0,0,0.88,2218.364226,0,2.73,35268.1117,0.845
374,76.8,88.0,0,0.25,1873.686852,0,2.85,27965.4754,0.841
375,77.2,84.0,0,0.67,2538.941033,0,2.23,37951.286,0.84
376,76.0,1.0,0,0.85,2048.557422,0,2.32,32672.36717,0.84
377,76.3,93.0,0,0.67,24.97532919,0,2.24,398.96692,0.837
378,76.2,92.0,0,0.16,179.7147814,0,2.62,2612.13345,0.834
379,76.4,89.0,0,0.11,1504.30004,0,3.1,21896.6527,0.828
380,76.0,89.0,0,0.12,1406.51194,0,3.9,18555.56649,0.823
381,74.8,95.0,0,0.13,941.7036868,0,3.4,16846.2198,0.82
382,74.7,19.0,0,0.47,1078.66244,0,3.6,16468.12886,0.819
383,74.4,16.0,0,0.37,11.79686108,0,3.5,188.44826,0.818
401,59.3,268.0,39,0.01,8.386339501,63,4.96,75.1464113,0.398
402,59.0,27.0,40,4.64,88.97040214,66,5.91,699.452847,0.392
403,58.6,271.0,41,4.75,78.76987363,68,5.33,673.8227,0.384
404,58.1,275.0,42,4.51,85.55592906,71,5.17,666.842783,0.377
405,57.5,279.0,43,4.55,90.46018236,74,7.17,575.4464527,0.365
406,56.9,283.0,44,4.55,81.14304705,77,7.41,552.7455521,0.356
407,56.1,288.0,45,4.5,107.7988339,80,6.77,569.7612784,0.345
408,55.3,293.0,46,4.58,73.92730583,83,6.63,475.11122,0.334
409,54.3,32.0,47,4.73,64.24025208,86,6.58,422.6332374,0.325
410,53.3,313.0,48,4.88,8.769989329,89,6.87,46.998871,0.0
411,52.4,323.0,49,4.54,56.96108089,91,6.45,371.323865,0.0
412,51.6,332.0,49,4.58,41.60951275,92,5.61,332.344351,0.0
413,51.0,338.0,49,4.53,3.195566831,93,5.26,26.7635413,0.0
414,56.0,344.0,48,4.56,23.1016899,93,4.85,235.4912324,0.0
415,51.0,348.0,48,3.71,19.83929597,92,5.6,226.4759814,0.0
417,59.1,297.0,22,0.01,41.25159038,32,7.54,312.7489794,0.404
418,58.6,33.0,22,0.01,40.15128458,32,8.3,282.7555252,0.398
419,58.0,312.0,22,0.01,38.73170505,33,8.21,265.285651,0.393
420,57.4,321.0,22,4.16,3.595980333,33,8.58,26.479973,0.385
421,56.8,33.0,23,4.16,31.14187566,34,8.82,231.1943256,0.361
422,56.2,338.0,23,4.05,2.030494673,34,6.96,24.944652,0.336
423,55.3,35.0,23,4.33,15.99415192,35,7.86,196.2472628,0.319
424,54.8,355.0,24,4.54,1.72659515,36,1.3,17.79995,0.309
425,54.1,361.0,24,4.5,21.24915339,36,11.49,165.8794176,0.29
426,53.4,369.0,24,5.54,1.747440948,37,9.84,15.57434,0.286
427,52.6,378.0,24,5.72,11.22655347,38,7.1,127.4296648,0.279
428,51.9,387.0,24,5.84,6.545263634,38,5.25,112.849373,0.276
429,51.5,387.0,24,5.98,9.660010196,39,5.15,122.4335893,0.268
430,51.3,385.0,25,6.09,10.61917585,40,4.96,133.7427689,0.268
431,58.0,386.0,25,6.61,9.696689164,41,4.98,135.9984455,0.268
449,73.0,117.0,0,0.01,414.0242418,0,4.76,3529.61843,0.643
450,72.8,12.0,0,0.01,325.6298627,0,4.29,3558.796314,0.643
451,72.7,121.0,0,0.01,33.55888998,0,4.61,348.482762,0.636
452,72.6,122.0,0,5.07,4.409153436,0,4.6,367.429453,0.632
453,72.5,123.0,0,4.75,286.8907303,0,4.83,3312.825985,0.627
454,72.4,124.0,0,4.45,339.9777364,0,4.24,3444.5566,0.621
455,72.4,124.0,0,4.16,360.6208825,0,3.96,3638.95946,0.615
456,72.3,126.0,0,5.28,345.463714,0,4.3,3112.285712,0.602
457,72.1,129.0,0,4.25,26.45133197,0,5.11,234.28992,0.596
458,71.8,134.0,0,4.26,3.349816965,0,4.86,248.13459,0.582
459,71.4,14.0,0,4.19,240.139715,0,5.6,1976.45856,0.574
460,71.1,144.0,0,4.16,209.0865,0,5.0,1768.92132,0.572
461,77.0,148.0,0,3.82,155.2072669,0,5.17,1373.515636,0.569
462,73.0,152.0,0,3.81,150.7434862,0,5.19,1268.884564,0.562
463,69.9,155.0,0,3.49,122.5744699,0,4.81,1239.377855,0.0
465,68.3,179.0,11,0.01,12.17952064,12,5.68,198.687123,0.553
466,67.8,183.0,11,0.01,8.758214538,13,5.93,128.419568,0.546
467,67.4,186.0,12,0.01,6.914723983,14,6.24,95.244132,0.54
468,67.0,19.0,13,2.12,60.18591771,15,5.64,882.491462,0.533
469,66.6,192.0,14,2.2,56.88416481,16,5.95,785.6928841,0.519
470,66.1,195.0,15,2.13,48.35423978,17,6.36,738.2326684,0.52
471,65.6,199.0,16,2.24,53.10009046,18,5.55,745.7877873,0.511
472,65.0,24.0,16,2.08,57.73516711,20,3.75,631.675789,0.495
473,64.1,216.0,17,2.03,51.50447119,21,4.48,539.8791529,0.483
474,62.9,234.0,18,1.99,62.21817261,22,5.84,474.2238766,0.47
475,61.5,253.0,19,1.38,8.38611924,24,6.43,48.615184,0.458
476,63.0,268.0,21,1.44,55.59543946,26,6.74,362.4213785,0.445
477,59.3,273.0,23,1.43,30.91060554,29,5.95,339.676984,0.427
478,58.5,273.0,25,1.71,27.68971051,33,5.7,321.22634,0.412
479,57.7,274.0,27,1.51,0.328418056,36,5.87,3.685949,0.401
481,56.7,366.0,47,0.01,61.39263642,71,4.1,1441.1417,0.507
482,56.4,364.0,48,0.01,63.07890158,73,4.29,1365.34419,0.501
483,55.9,369.0,50,0.01,68.55839112,76,4.34,1255.648189,0.496
484,55.6,371.0,51,6.19,83.18071241,79,3.96,1295.649726,0.486
485,55.3,37.0,53,6.15,100.8987451,82,5.28,1182.869227,0.48
486,54.8,373.0,54,5.89,9.042540892,85,5.7,123.19538,0.473
487,54.2,382.0,56,5.9,68.7073044,87,5.18,1233.524316,0.466
488,53.6,395.0,57,5.44,7.562892922,89,4.76,111.71186,0.456
489,53.3,394.0,58,5.22,0.962497052,91,4.69,12.989164,0.456
490,52.8,4.0,58,5.03,73.03276195,93,4.75,952.1872484,0.456
491,52.1,412.0,59,4.71,7.177302132,94,4.73,93.211716,0.455
492,51.8,412.0,60,4.64,67.63925302,95,4.97,824.8689393,0.452
493,51.6,47.0,60,4.58,53.70597428,97,4.86,676.397661,0.452
494,51.5,41.0,61,4.43,41.73629221,99,4.7,614.6729339,0.437
495,51.4,394.0,62,3.91,4.720593531,100,4.48,68.414399,0.433
497,82.0,65.0,2,8.1,102.1902168,2,1.45,544.43376,0.912
498,81.8,67.0,2,8.2,9733.228019,2,1.67,52413.72116,0.909
499,81.6,68.0,2,8.3,9748.636237,2,1.78,52496.69487,0.907
500,81.5,68.0,2,8.2,971.9280384,2,1.82,5282.2176,0.903
501,81.2,7.0,2,8.4,8649.674911,2,11.2,47447.4762,0.898
502,81.0,72.0,2,8.4,864.94993,2,11.17,4773.45436,0.898
