,life_expectancy,adult_mortality,alcohol,percentage_expenditure,under_five_deaths,total_expenditure,gdp,income_composition_of_resources,schooling
432,53.3,397.0,5.288333333333333,0.0,79.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
448,73.3,114.0,5.288333333333333,0.0,44.84496124031008,7.08,2954.119467,0.646,13.5
464,68.7,174.0,5.288333333333333,0.0,12.0,7.08,1163.18977,0.558,10.9
480,57.3,357.0,5.288333333333333,0.0,68.0,7.08,1244.429421,0.514,10.4
496,82.2,64.0,5.288333333333333,0.0,2.0,7.08,43315.744,0.919,16.3
512,52.5,397.0,5.288333333333333,0.0,21.0,7.08,348.381417,0.347,7.1
528,53.1,356.0,5.288333333333333,0.0,77.0,7.08,777.248751,0.394,7.3
544,85.0,82.0,5.288333333333333,0.0,2.0,7.08,13653.2264,0.845,16.3
560,76.1,85.0,5.288333333333333,0.0,183.0,7.08,869.211938,0.734,13.5
576,74.8,143.0,5.288333333333333,0.0,12.0,7.08,644.525556,0.724,13.6
592,63.5,227.0,5.288333333333333,0.0,2.0,7.08,727.6463868,0.498,11.1
608,64.7,267.0,5.288333333333333,0.0,10.0,7.08,7185.331746333765,0.59,11.1
625,79.6,95.0,5.288333333333333,0.0,1.0,7.08,1146.36273,0.775,14.2
641,78.0,95.0,5.288333333333333,0.0,44.84496124031008,7.08,11579.6674,0.823,15.3
657,79.1,92.0,5.288333333333333,0.0,1.0,7.08,762.261218,0.773,13.9
673,85.0,52.0,5.288333333333333,0.0,44.84496124031008,7.08,2375.1127,0.854,14.3
689,78.8,86.0,5.288333333333333,0.0,44.84496124031008,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
705,76.0,139.0,5.288333333333333,0.0,7.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
721,59.8,258.0,5.288333333333333,0.0,308.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
737,86.0,71.0,5.288333333333333,0.0,44.84496124031008,7.08,5314.64416,0.923,19.2
753,63.5,241.0,5.288333333333333,0.0,1.0,7.08,1862.167274,0.47,6.3
770,73.9,152.0,5.288333333333333,0.0,7.0,7.08,6468.471648,0.718,13.2
786,76.2,118.0,5.288333333333333,0.0,7.0,7.08,625.62224,0.739,14.0
802,79.0,159.0,5.288333333333333,0.0,60.0,7.08,7185.331746333765,0.688,13.1
818,73.5,178.0,5.288333333333333,0.0,2.0,7.08,4127.11775,0.678,13.2
834,58.2,32.0,5.288333333333333,0.0,4.0,7.08,1347.31257,0.582,9.2
850,64.7,255.0,5.288333333333333,0.0,7.0,7.08,7185.331746333765,0.418,5.0
866,77.6,119.0,5.288333333333333,0.0,44.84496124031008,7.08,1774.9291,0.863,16.5
882,64.8,225.0,5.288333333333333,0.0,194.0,7.08,645.4637627,0.441,8.4
898,69.9,188.0,5.288333333333333,0.0,44.84496124031008,7.08,4921.89629,0.734,15.3
914,81.1,76.0,5.288333333333333,0.0,44.84496124031008,7.08,4245.39744,0.893,17.0
930,82.4,78.0,5.288333333333333,0.0,3.0,7.08,36526.7711,0.894,16.3
946,66.0,229.0,5.288333333333333,0.0,3.0,7.08,7388.984144,0.694,12.6
962,61.1,262.0,5.288333333333333,0.0,5.0,7.08,7185.331746333765,0.45,8.9
978,74.4,129.0,5.288333333333333,0.0,1.0,7.08,3764.64912,0.768,13.9
994,81.0,68.0,5.288333333333333,0.0,3.0,7.08,41176.88158,0.924,17.1
1010,62.4,249.0,5.288333333333333,0.0,52.0,7.08,1361.11395,0.575,11.4
1026,81.0,72.0,5.288333333333333,0.0,44.84496124031008,7.08,187.78991,0.865,17.2
1042,73.6,142.0,5.288333333333333,0.0,44.84496124031008,7.08,9212.192824,0.751,15.8
1058,71.9,186.0,5.288333333333333,0.0,12.0,7.08,3923.573344,0.637,10.7
1074,59.0,284.0,5.288333333333333,0.0,40.0,7.08,554.48766,0.414,8.8
1090,58.9,275.0,5.288333333333333,0.0,6.0,7.08,596.8717189,0.421,9.2
1106,66.2,215.0,5.288333333333333,0.0,1.0,7.08,4136.689919,0.638,10.3
1122,63.5,24.0,5.288333333333333,0.0,18.0,7.08,814.5463952,0.49,9.1
1138,74.6,147.0,5.288333333333333,0.0,4.0,7.08,2326.15856,0.623,11.2
1154,75.8,134.0,5.288333333333333,0.0,44.84496124031008,7.08,12365.6263,0.834,15.6
1170,82.7,49.0,5.288333333333333,0.0,44.84496124031008,7.08,5734.4436,0.919,19.0
1186,68.3,181.0,5.288333333333333,0.0,1100.0,7.08,1613.18878,0.615,11.6
1202,69.1,176.0,5.288333333333333,0.0,136.0,7.08,3336.16686,0.686,12.9
1218,75.5,83.0,5.288333333333333,0.0,21.0,7.08,7185.331746333765,0.774,14.8
1234,68.9,182.0,5.288333333333333,0.0,38.0,7.08,4974.2693,0.649,10.1
1250,81.4,64.0,5.288333333333333,0.0,44.84496124031008,7.08,6664.144,0.92,18.6
1266,82.5,58.0,5.288333333333333,0.0,1.0,7.08,35729.37253,0.898,16.0
1282,82.7,56.0,5.288333333333333,0.0,2.0,7.08,349.14755,0.881,16.3
1298,76.2,125.0,5.288333333333333,0.0,1.0,7.08,4965.989857,0.729,12.8
1314,83.7,55.0,5.288333333333333,0.0,3.0,7.08,34474.13736,0.902,15.3
1330,74.1,112.0,5.288333333333333,0.0,4.0,7.08,496.99275,0.741,13.1
1346,72.0,198.0,5.288333333333333,0.0,5.0,7.08,159.9817,0.793,15.0
1362,63.4,249.0,5.288333333333333,0.0,75.0,7.08,1349.97144,0.55,11.1
1378,66.3,198.0,5.288333333333333,0.0,44.84496124031008,7.08,1424.483611,0.586,11.9
1394,74.7,81.0,5.288333333333333,0.0,1.0,7.08,28975.418,0.799,13.3
1410,71.1,166.0,5.288333333333333,0.0,3.0,7.08,7185.331746333765,0.662,13.0
1426,65.7,194.0,5.288333333333333,0.0,11.0,7.08,7185.331746333765,0.582,10.8
1442,74.6,153.0,5.288333333333333,0.0,44.84496124031008,7.08,13666.58336,0.828,16.0
1458,74.9,98.0,5.288333333333333,0.0,1.0,7.08,846.632851,0.763,13.3
1474,53.7,484.0,5.288333333333333,0.0,6.0,7.08,173.82893,0.495,10.7
1490,61.4,259.0,5.288333333333333,0.0,11.0,7.08,452.38717,0.427,9.9
1506,72.7,138.0,5.288333333333333,0.0,2.0,7.08,7185.331746333765,0.719,13.4
1522,73.6,165.0,5.288333333333333,0.0,44.84496124031008,7.08,14252.42853,0.846,16.5
1538,82.0,63.0,5.288333333333333,0.0,44.84496124031008,7.08,1199.8223,0.896,13.9
1554,65.5,22.0,5.288333333333333,0.0,38.0,7.08,41.8575951,0.511,10.3
1570,58.3,365.0,5.288333333333333,0.0,38.0,7.08,362.6575444,0.473,10.8
1586,75.0,123.0,5.288333333333333,0.0,4.0,7.08,9643.644683,0.787,13.1
1602,78.5,61.0,5.288333333333333,0.0,44.84496124031008,7.08,8395.785198,0.701,12.7
1618,58.2,266.0,5.288333333333333,0.0,84.0,7.08,729.725338,0.438,8.4
1634,81.7,54.0,5.288333333333333,0.0,44.84496124031008,7.08,23819.4636,0.853,14.6
1651,63.1,25.0,5.288333333333333,0.0,12.0,7.08,1158.256469,0.513,8.5
1667,74.6,146.0,5.288333333333333,0.0,44.84496124031008,7.08,9252.11724,0.779,15.2
1683,76.7,122.0,5.288333333333333,0.0,35.0,7.08,9143.128494,0.758,13.3
1699,69.4,166.0,5.288333333333333,0.0,44.84496124031008,7.08,7185.331746333765,0.637,11.7
1716,68.8,222.0,5.288333333333333,0.0,1.0,7.08,3944.1839,0.733,14.8
1732,76.1,16.0,5.288333333333333,0.0,44.84496124031008,7.08,6461.192554,0.804,15.1
1748,74.3,95.0,5.288333333333333,0.0,20.0,7.08,2847.285569,0.645,12.1
1764,57.6,355.0,5.288333333333333,0.0,81.0,7.08,528.3125597,0.414,9.1
1780,66.6,199.0,5.288333333333333,0.0,50.0,7.08,1194.59137,0.552,9.1
1796,65.8,248.0,5.288333333333333,0.0,3.0,7.08,4737.66996,0.637,11.7
1813,69.2,165.0,5.288333333333333,0.0,21.0,7.08,743.7653489,0.555,12.2
1829,81.9,57.0,5.288333333333333,0.0,1.0,7.08,44292.88473,0.923,18.1
1845,81.6,66.0,8.7,0.0,44.84496124031008,7.08,3821.8937,0.913,19.2
1861,74.8,145.0,5.288333333333333,0.0,2.0,7.08,295.966488,0.642,11.7
1877,61.8,22.0,5.288333333333333,0.0,87.0,7.08,358.99731,0.351,5.4
1893,54.5,344.0,5.288333333333333,0.0,747.0,7.08,2655.157977,0.525,10.0
1910,81.8,59.0,5.97,0.0,44.84496124031008,7.08,7455.24654,0.948,17.7
1926,76.6,99.0,5.288333333333333,0.0,1.0,7.08,16627.36433,0.795,13.7
1942,66.4,161.0,5.288333333333333,0.0,433.0,7.08,1431.244865,0.548,8.1
1959,77.8,118.0,5.288333333333333,0.0,1.0,7.08,13134.4367,0.785,13.0
1975,62.9,275.0,5.288333333333333,0.0,12.0,7.08,7185.331746333765,0.515,10.0
1991,74.0,146.0,5.288333333333333,0.0,3.0,7.08,419.367724,0.692,12.3
2007,75.5,123.0,5.288333333333333,0.0,10.0,7.08,63.343259,0.737,13.4
2023,68.5,211.0,5.288333333333333,0.0,66.0,7.08,2878.33837,0.679,11.7
2039,77.5,117.0,5.288333333333333,0.0,2.0,7.08,12565.9876,0.852,16.4
2055,81.1,76.0,5.288333333333333,0.0,44.84496124031008,7.08,1922.681,0.841,16.6
2071,78.2,68.0,5.288333333333333,0.0,44.84496124031008,7.08,66346.52267,0.855,13.4
2087,82.3,64.0,5.288333333333333,0.0,2.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
2103,72.1,157.0,5.288333333333333,0.0,1.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
2119,75.0,133.0,5.288333333333333,0.0,2.0,7.08,8958.788593,0.798,14.7
2135,75.0,222.0,5.288333333333333,0.0,15.0,7.08,9329.298351,0.805,15.0
2151,66.1,227.0,5.288333333333333,0.0,15.0,7.08,71.348397,0.493,10.8
2168,75.2,138.0,5.288333333333333,0.0,44.84496124031008,7.08,7185.331746333765,0.735,13.1
2184,73.2,156.0,5.288333333333333,0.0,44.84496124031008,7.08,7185.331746333765,0.72,13.3
2200,74.0,125.0,5.288333333333333,0.0,44.84496124031008,7.08,4149.363444,0.702,12.9
2217,67.5,19.0,5.288333333333333,0.0,44.84496124031008,7.08,1624.63963,0.565,11.2
2233,74.5,88.0,5.288333333333333,0.0,8.0,7.08,2732.86172,0.845,16.1
2249,66.7,188.0,5.288333333333333,0.0,26.0,7.08,98.7256145,0.491,9.5
2265,75.6,121.0,5.288333333333333,0.0,1.0,7.08,5237.255334,0.775,14.4
2281,73.2,168.0,5.288333333333333,0.0,44.84496124031008,7.08,1539.464,0.781,14.1
2297,51.0,413.0,5.288333333333333,0.0,30.0,7.08,587.538233,0.431,9.5
2313,83.1,55.0,1.79,0.0,44.84496124031008,7.08,53629.73746,0.924,15.4
2329,76.7,19.0,5.288333333333333,0.0,44.84496124031008,7.08,7185.331746333765,0.842,15.0
2345,88.0,74.0,5.288333333333333,0.0,44.84496124031008,7.08,2729.86383,0.888,17.3
2361,69.2,177.0,5.288333333333333,0.0,44.84496124031008,7.08,1922.41388,0.514,9.6
2377,55.0,312.0,5.288333333333333,0.0,80.0,7.08,426.98537,0.6917398843930636,12.927167630057802
2393,62.9,328.0,5.288333333333333,0.0,52.0,7.08,5769.77258,0.665,13.0
2409,57.3,332.0,5.288333333333333,0.0,39.0,7.08,758.725782,0.421,4.9
2425,82.8,56.0,5.288333333333333,0.0,1.0,7.08,25683.84565,0.882,17.7
2441,74.9,138.0,5.288333333333333,0.0,3.0,7.08,3844.89123,0.764,14.0
2457,64.1,225.0,5.288333333333333,0.0,85.0,7.08,2513.884661,0.488,7.2
2473,71.6,176.0,5.288333333333333,0.0,44.84496124031008,7.08,8818.982566,0.723,12.7
2489,58.9,373.0,5.288333333333333,0.0,3.0,7.08,3136.92511,0.541,11.4
2505,82.4,53.0,5.288333333333333,0.0,44.84496124031008,7.08,5585.25847,0.909,15.9
2521,83.4,49.0,5.288333333333333,0.0,44.84496124031008,7.08,8989.8424,0.938,16.0
2537,64.5,293.0,5.288333333333333,0.0,8.0,7.08,7185.331746333765,0.553,9.0
2553,69.7,161.0,5.288333333333333,0.0,11.0,7.08,918.6771543,0.625,11.3
2569,74.9,148.0,5.288333333333333,0.0,9.0,7.08,5814.863134,0.738,13.6
2585,75.7,154.48066298342542,5.288333333333333,0.0,44.84496124031008,7.08,7185.331746333765,0.746,12.9
2601,68.3,152.0,5.288333333333333,0.0,2.0,7.08,1161.76935,0.603,12.5
2617,59.9,287.0,5.288333333333333,0.0,20.0,7.08,551.138346,0.484,12.0
2633,73.5,133.0,5.288333333333333,0.0,44.84496124031008,7.08,493.775387,0.718,14.3
2649,71.2,17.0,5.288333333333333,0.0,44.84496124031008,7.08,17321.83373,0.779,12.7
2665,75.3,154.48066298342542,5.288333333333333,0.0,3.0,7.08,3828.91589,0.723,14.6
2681,75.8,16.0,5.288333333333333,0.0,18.0,7.08,1979.52569,0.764,14.5
2697,66.3,215.0,5.288333333333333,0.0,7.0,7.08,6432.668768,0.688,10.8
2714,62.3,291.0,5.288333333333333,0.0,93.0,7.08,693.8963829,0.488,10.0
2730,71.3,195.0,5.288333333333333,0.0,5.0,7.08,2124.662666,0.748,15.3
2746,77.1,75.0,5.288333333333333,0.0,1.0,7.08,3911.74689,0.836,13.3
2762,81.2,69.0,10.66,0.0,4.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
2778,61.8,279.0,5.288333333333333,0.0,119.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
2794,79.3,13.0,5.288333333333333,0.0,26.0,7.08,7185.331746333765,0.6917398843930636,12.927167630057802
2810,77.0,116.0,5.288333333333333,0.0,44.84496124031008,7.08,15524.84247,0.794,15.5
2826,69.4,184.0,5.288333333333333,0.0,17.0,7.08,2137.576852,0.697,12.1
2842,72.0,13.0,5.288333333333333,0.0,44.84496124031008,7.08,285.83414,0.598,10.8
2858,74.1,157.0,5.288333333333333,0.0,10.0,7.08,7185.331746333765,0.769,14.3
2874,76.0,127.0,5.288333333333333,0.0,35.0,7.08,7185.331746333765,0.678,12.6
2890,65.7,224.0,5.288333333333333,0.0,47.0,7.08,7185.331746333765,0.499,9.0
2906,61.8,33.0,5.288333333333333,0.0,40.0,7.08,1313.889646,0.576,12.5
2922,67.0,336.0,5.288333333333333,0.0,32.0,7.08,118.69383,0.507,10.3
1,59.9,271.0,0.01,73.52358168,86.0,8.18,612.696514,0.476,10.0
17,77.5,159.42352941176472,4.51,428.7490668,1.0,5.88,4575.763787,0.761,14.2
33,75.4,159.42352941176472,0.01,54.2373183,24.0,7.21,547.8517,0.741,14.4
49,51.7,348.0,8.33,23.965612,101.0,3.31,479.31224,0.527,11.4
65,76.2,131.0,8.56,2422.999774,45.94656488549618,5.54,12888.29667,0.782,13.9
81,76.2,118.0,7.93,847.3717463,9.0,4.79,12245.25645,0.825,17.3
97,74.6,159.42352941176472,3.91,295.6087143,1.0,4.48,3994.712355,0.739,12.7
113,82.7,159.42352941176472,9.71,10769.36305,1.0,9.42,62214.6912,0.936,20.4
129,81.4,66.0,12.32,8350.193523,45.94656488549618,11.21,51322.63997,0.892,15.9
145,72.5,119.0,0.01,306.1824313,6.0,6.4,7891.299776,0.752,12.2
161,75.4,16.0,9.45,0.0,45.94656488549618,7.74,10015.568494234838,0.789,12.6
177,76.8,159.42352941176472,1.57,367.2556742,45.94656488549618,4.98,24983.3792,0.82,14.5
193,71.4,132.0,0.01,10.44640334,121.0,2.82,184.56543,0.57,10.0
209,75.4,159.42352941176472,8.82,294.9056584,45.94656488549618,7.47,15359.66971,0.793,15.3
225,72.0,199.0,13.94,1147.1114,45.94656488549618,5.69,8318.429294,0.796,15.7
241,89.0,76.0,12.6,7163.348923,1.0,1.59,47439.39684,0.89,16.3
257,70.0,177.0,6.58,670.0920883,45.94656488549618,5.79,4852.223666,0.705,12.8
273,59.7,252.0,0.01,90.12206791,39.0,4.59,943.686575,0.475,10.7
289,69.4,216.0,0.01,209.3921344,1.0,3.57,2522.7968,0.596,12.5
305,74.0,189.0,3.62,0.0,10.0,6.33,10015.568494234838,0.666,13.8
321,77.2,89.0,4.03,732.8662491,45.94656488549618,9.57,5193.94932,0.742,14.2
337,65.1,268.0,0.01,662.802194,2.0,5.41,7497.762376,0.697,12.6
353,74.8,144.0,7.32,83.16465362,49.0,8.32,1226.61731,0.747,15.2
369,77.6,159.42352941176472,0.01,269.1432784,45.94656488549618,2.65,4159.8652,0.863,15.0
385,74.3,138.0,12.03,153.1400362,1.0,8.44,7853.335191,0.787,14.8
401,59.3,268.0,0.01,8.386339501,63.0,4.96,75.1464113,0.398,7.7
417,59.1,297.0,0.01,41.25159038,32.0,7.54,312.7489794,0.404,10.6
433,52.8,47.0,0.01,0.0,80.0,5.72,10015.568494234838,0.688393063583815,12.88728323699422
449,73.0,117.0,0.01,414.0242418,45.94656488549618,4.76,3529.61843,0.643,13.5
465,68.3,179.0,0.01,12.17952064,12.0,5.68,198.687123,0.553,10.9
481,56.7,366.0,0.01,61.39263642,71.0,4.1,1441.1417,0.507,10.4
497,82.0,65.0,8.1,102.1902168,2.0,1.45,544.43376,0.912,15.9
513,58.0,437.0,0.01,53.43964323,22.0,4.2,377.132274,0.345,7.1
529,52.6,362.0,0.01,11.3020668,78.0,3.62,125.998515,0.39,7.3
545,83.0,83.0,7.16,2352.999591,2.0,7.79,14817.37778,0.841,16.2
561,75.8,86.0,5.78,109.8743903,198.0,5.55,7683.5238,0.723,13.1
577,74.6,144.0,4.38,1435.487755,12.0,7.2,7913.383432,0.72,13.6
593,63.2,23.0,0.01,73.86584922,2.0,6.75,852.954379,0.497,11.1
609,64.2,275.0,0.01,0.0,10.0,5.15,10015.568494234838,0.581,11.1
626,79.5,96.0,3.45,384.5129138,1.0,9.31,1647.44179,0.768,13.9
642,77.8,97.0,12.14,1884.098811,45.94656488549618,7.8,13467.46827,0.82,15.1
658,79.0,93.0,4.37,13.6691019,1.0,11.6,75.5199,0.772,14.0
674,83.0,53.0,0.01,207.3041936,45.94656488549618,7.37,2734.88382,0.85,14.0
690,78.6,88.0,12.68,0.0,45.94656488549618,7.41,10015.568494234838,0.688393063583815,12.88728323699422
706,73.0,142.0,0.01,0.0,8.0,6.200994475138122,10015.568494234838,0.688393063583815,12.88728323699422
722,59.3,266.0,0.01,0.0,312.0,4.33,10015.568494234838,0.688393063583815,12.88728323699422
738,84.0,73.0,9.64,10468.76292,45.94656488549618,1.8,62425.5392,0.926,19.2
754,63.0,252.0,0.38,24.73299655,1.0,1.57,174.91511,0.467,6.3
771,73.6,154.0,5.92,1088.244952,7.0,4.38,6268.692122,0.712,13.2
787,76.0,121.0,3.82,79.11626341,7.0,9.16,6432.216537,0.737,14.0
803,78.0,161.0,0.21,0.0,62.0,5.64,10015.568494234838,0.686,13.1
819,73.3,181.0,2.52,665.7260253,2.0,6.77,3988.771871,0.676,13.2
835,57.9,32.0,0.01,13.40477417,4.0,3.8,192.59733,0.582,9.2
851,64.4,261.0,0.01,0.0,8.0,3.34,10015.568494234838,0.416,5.0
867,77.3,122.0,0.01,2700.07305,45.94656488549618,6.38,19941.45532,0.86,16.5
883,64.2,234.0,0.01,89.95805845,202.0,4.88,571.1622759,0.435,8.4
899,69.7,19.0,0.01,50.539484,45.94656488549618,4.49,546.3728,0.727,15.2
915,89.0,78.0,8.8,6164.455402,45.94656488549618,9.68,49914.61864,0.89,17.0
931,82.2,79.0,11.5,6739.677606,3.0,11.54,42955.24287,0.89,16.2
947,65.5,237.0,0.01,715.2816939,3.0,3.44,9692.163874,0.687,12.6
963,68.0,266.0,0.01,0.0,5.0,7.34,10015.568494234838,0.449,8.9
979,74.5,125.0,6.13,221.482875,1.0,7.42,4429.6575,0.759,13.5
995,89.0,69.0,11.03,941.7562909,3.0,11.3,4792.65288,0.92,17.0
1011,62.1,253.0,0.01,97.67794571,54.0,3.56,1432.227943,0.576,11.7
1027,88.0,73.0,7.53,2163.043414,45.94656488549618,8.8,21673.7817,0.862,17.2
1043,73.5,143.0,8.42,789.2764615,45.94656488549618,6.1,8569.776998,0.749,15.8
1059,71.7,187.0,1.88,657.5282797,13.0,6.2,3687.763767,0.614,10.7
1075,58.1,299.0,0.01,50.57976483,41.0,5.64,561.997387,0.412,8.6
1091,58.4,282.0,0.01,50.06053544,6.0,5.59,642.6256154,0.419,9.2
1107,66.0,217.0,7.64,4.141293345,1.0,5.25,43.82321,0.636,10.3
1123,63.1,245.0,0.01,5.103249438,19.0,7.56,83.1148117,0.487,9.1
1139,74.5,149.0,2.87,345.3776344,4.0,8.72,2242.711912,0.618,11.4
1155,75.6,137.0,0.01,160.9449342,45.94656488549618,7.4,14117.97668,0.834,15.8
1171,82.5,49.0,7.45,8254.020763,45.94656488549618,8.86,52473.11356,0.915,19.0
1187,68.0,184.0,3.07,86.52153895,1200.0,4.69,1573.11889,0.607,11.6
1203,68.9,179.0,0.09,200.0684443,142.0,2.85,3491.595887,0.682,12.9
1219,75.4,83.0,0.01,0.0,22.0,6.89,10015.568494234838,0.77,14.9
1235,67.9,199.0,0.01,43.5240801,39.0,5.54,673.74737,0.658,10.1
1251,81.2,66.0,10.75,746.3670453,45.94656488549618,7.78,5553.32623,0.91,18.6
1267,82.2,159.42352941176472,2.62,4348.33531,1.0,7.81,37582.84624,0.895,16.0
1283,82.5,57.0,7.56,4831.644796,2.0,9.25,35396.66517,0.877,16.3
1299,75.8,133.0,3.83,427.3054534,1.0,5.36,4855.743789,0.727,12.8
1315,83.5,57.0,0.01,88.83362243,3.0,1.23,3896.21151,0.899,15.3
1331,74.0,113.0,0.41,63.8784522,4.0,7.45,466.94775,0.737,13.1
1347,69.9,22.0,6.29,24.44473709,5.0,4.36,1286.56511,0.789,15.0
1363,62.9,255.0,0.01,170.9626624,79.0,5.72,1335.6458,0.546,11.1
1379,66.1,159.42352941176472,0.01,97.87193319,45.94656488549618,1.21,1684.54274,0.597,11.9
1395,74.6,82.0,0.01,2480.896965,1.0,3.4,42996.4812,0.787,13.0
1411,78.0,17.0,0.01,0.0,4.0,6.48,10015.568494234838,0.656,12.8
1427,65.3,199.0,0.01,0.0,11.0,1.87,10015.568494234838,0.573,10.6
1443,74.4,156.0,0.01,1542.635979,45.94656488549618,5.88,15725.1374,0.822,16.0
1459,74.8,99.0,1.32,140.3771361,1.0,6.39,8161.4614,0.763,13.3
1475,52.1,522.0,0.01,162.1278115,6.0,1.62,1174.839214,0.491,10.8
1491,58.1,329.0,0.01,54.37396957,11.0,1.4,458.4651734,0.426,9.9
1507,72.4,143.0,0.01,0.0,2.0,4.97,10015.568494234838,0.73,13.4
1523,73.4,169.0,15.19,2211.744178,45.94656488549618,6.55,16554.97139,0.841,16.5
1539,81.7,65.0,11.12,16255.16198,45.94656488549618,6.94,119172.7418,0.892,13.9
1555,65.1,225.0,0.01,5.339065673,39.0,3.4,452.4631926,0.509,10.3
1571,57.6,377.0,0.01,59.48744893,40.0,11.38,354.7253961,0.466,10.7
1587,74.8,126.0,0.52,721.3655432,4.0,4.17,11183.96191,0.783,13.0
1603,78.2,62.0,0.01,2051.748615,45.94656488549618,13.73,7716.2415,0.693,12.7
1619,57.8,272.0,0.01,46.56231672,85.0,6.86,825.5729915,0.43,8.2
1635,81.4,55.0,8.49,409.6000248,45.94656488549618,9.75,2618.92599,0.847,14.3
1652,63.0,26.0,0.01,80.92679802,12.0,3.77,1326.66882,0.509,8.5
1668,74.2,148.0,0.01,115.2784282,45.94656488549618,4.81,1153.93822,0.769,14.7
1684,76.6,122.0,5.26,168.173753,36.0,6.3,1452.27766,0.754,13.1
1700,69.4,164.0,1.58,0.0,45.94656488549618,13.71,10015.568494234838,0.639,11.7
1717,68.4,225.0,0.01,281.0023992,1.0,4.73,4181.583321,0.729,14.8
1733,75.9,17.0,0.01,726.0291764,45.94656488549618,6.42,7378.345289,0.803,15.1
1749,74.1,96.0,0.43,198.7343495,21.0,5.91,3154.513484,0.64,12.1
1765,56.7,375.0,0.01,54.91159475,84.0,6.98,623.2871141,0.409,9.1
1781,66.4,21.0,0.01,45.33788677,52.0,2.28,1262.893782,0.547,9.1
1797,65.9,242.0,0.01,751.3982719,3.0,8.93,5421.343953,0.632,11.7
1814,69.6,158.0,0.01,8.523486403,22.0,5.8,76.2386977,0.551,12.4
1830,81.7,58.0,0.01,1491.703605,1.0,1.9,52157.4687,0.923,18.1
1846,81.5,67.0,9.07,1040.278436,45.94656488549618,11.3,4453.24673,0.91,19.2
1862,74.5,148.0,3.55,473.1238124,3.0,9.4,1975.46477,0.636,11.6
1878,61.4,223.0,0.01,3.304039899,88.0,5.82,43.646498,0.345,5.3
1894,53.6,362.0,0.01,263.2111031,759.0,3.67,3221.678128,0.521,10.0
1911,81.6,61.0,6.06,177.6382878,45.94656488549618,9.72,975.49856,0.945,17.7
1927,76.4,159.42352941176472,0.4,166.1913728,1.0,3.55,2458.45226,0.796,13.7
1943,66.2,162.0,0.01,62.29361092,442.0,2.61,1316.98966,0.542,7.8
