,Life_expectancy,Adult_Mortality,Alcohol,percentage_expenditure,Total_expenditure,GDP
1180,81.0,62.0,7.05,10631.20379,9.21,56249.7555
1181,88.0,65.0,6.79,8506.101443,9.59,46917.27216
1182,87.0,65.0,6.61,725.4853161,1.7,3944.999
1183,84.0,7.0,6.61,5948.096777,9.86,31996.2172
1184,80.0,72.0,6.37,5048.274426,9.12,28585.9254
1185,79.7,74.0,6.17,5809.12199,9.28,31813.37344
1251,81.2,66.0,10.75,746.3670453,7.78,5553.32623
1252,81.0,67.0,10.49,703.5527332,8.1,5234.76736
1253,85.0,69.0,11.49,6616.695125,8.32,49231.36254
1254,84.0,7.0,11.72,6386.95437,8.15,52567.52568
1255,86.0,68.0,11.88,4509.234803,8.76,48538.58776
1256,79.7,77.0,11.41,7620.823456,9.53,51983.78892
1257,79.8,75.0,12.66,9528.230574,8.64,61235.415
1258,79.5,75.0,13.59,9797.552661,7.57,61388.17457
1259,79.0,78.0,13.44,9126.931178,7.22,54326.9713
1260,78.7,78.0,13.31,973.681333,7.27,5886.82789
1261,78.3,82.0,13.32,8040.220444,7.34,47631.6377
1262,78.0,82.0,13.24,675.2134725,7.5,4117.15532
1263,77.4,88.0,14.17,5092.383814,6.85,32539.1937
1264,77.0,89.0,14.27,4264.579203,6.6,28223.55528
1265,76.4,94.0,14.07,3794.581463,6.3,26241.91883
1283,82.5,57.0,7.56,4831.644796,9.25,35396.66517
1284,82.3,58.0,7.35,483.1916844,9.22,3537.27441
1285,82.0,6.0,7.49,4793.904924,9.28,34814.12436
1286,82.0,6.0,6.98,5439.691769,9.27,38334.68477
1287,81.8,6.0,6.95,5219.668802,9.42,35849.37364
1288,81.6,61.0,7.25,5243.316638,9.41,36976.84512
1289,81.5,61.0,7.96,66.37840495,8.89,464.18465
1290,81.3,63.0,8.37,5228.821581,8.48,37698.78573
1291,81.2,65.0,8.44,473.1915451,8.82,3341.7482
1292,88.0,66.0,8.65,4506.255963,8.71,31959.26215
1293,89.0,66.0,8.98,4270.914882,8.49,31174.56118
1294,79.9,72.0,9.3,3519.258515,8.17,27387.2258
1295,80.0,72.0,9.25,2883.334911,8.23,22196.5736
1296,79.8,75.0,9.69,3.1222302,8.11,24.819
1297,79.4,77.0,9.78,31.50582204,7.91,251.2426
1315,83.5,57.0,0.01,88.83362243,1.23,3896.21151
1316,83.5,56.0,7.55,94.43428615,1.25,4454.44746
1317,83.3,58.0,7.39,121.5869163,1.17,4863.47665
1318,82.5,64.0,7.39,9498.729062,1.7,48167.99727
1319,83.0,62.0,6.9,863.0061491,9.58,4457.67639
1320,83.0,64.0,7.09,899.1785285,9.51,4855.17564
1321,82.7,66.0,7.11,7313.175418,8.6,39339.29757
1322,82.6,67.0,7.29,6599.995239,8.25,35275.22843
1323,82.4,68.0,7.49,6502.136974,8.19,35433.98896
1324,82.0,69.0,7.99,6799.664423,8.18,37217.64873
1325,82.1,68.0,7.7,6746.281299,8.3,37688.72234
1326,81.9,7.0,7.83,578.7254273,8.0,3488.3992
1327,81.8,7.0,7.87,5250.249188,7.85,32289.3554
1328,81.5,72.0,8.03,5486.51208,7.75,33846.46564
1329,81.1,74.0,7.97,5926.296654,7.53,38532.488
1443,74.4,156.0,0.01,1542.635979,5.88,15725.1374
1444,74.1,161.0,10.37,150.3116884,5.67,1532.22924
1445,73.8,163.0,10.21,1356.022164,5.91,13822.8559
1446,73.6,169.0,10.14,24.70841046,6.1,1372.68947
1447,72.8,18.0,9.8,1109.969508,6.55,11326.21947
1448,72.6,184.0,9.85,1137.6237,6.84,12219.37379
1449,71.9,199.0,11.84,253.4022338,6.63,16348.53121
1450,78.0,221.0,12.12,170.9884138,7.1,1444.1589
1451,75.0,229.0,10.4,1099.248837,6.8,9667.9757
1452,76.0,216.0,9.92,86.9255399,6.37,7558.7426
1453,71.0,26.0,8.81,80.0328375,6.51,6351.8125
1454,78.0,29.0,8.24,478.0644911,6.15,5134.95694
1455,73.0,219.0,7.44,376.4570185,6.29,4132.34927
1456,69.9,228.0,6.68,332.2751709,6.17,3572.8513
1457,71.0,218.0,7.13,291.0170765,6.0,3352.731296
1523,73.4,169.0,15.19,2211.744178,6.55,16554.97139
1524,73.0,178.0,15.04,1968.816817,6.59,15712.82376
1525,73.0,176.0,15.14,1807.071336,6.67,14341.836
1526,72.8,18.0,12.66,1758.822757,6.86,14357.73679
1527,72.4,188.0,12.9,1423.802386,7.9,11984.86857
1528,72.2,192.0,12.4,1446.529217,7.53,11837.3913
1529,71.1,224.0,13.3,1888.149904,6.61,14961.56818
1530,72.0,24.0,13.4,1581.511914,6.22,12297.91535
1531,76.0,229.0,12.7,116.504961,6.2,924.642548
1532,78.0,222.0,12.3,913.699529,5.83,7863.1629
1533,71.6,24.0,12.1,76.36187737,5.67,676.966998
1534,71.6,22.0,11.29,80.99710054,6.46,555.535669
1535,71.4,22.0,11.0,561.9168642,6.4,4146.987928
1536,71.2,21.0,10.2,42.87208671,6.26,353.147337
1537,71.6,2.0,9.87,373.2605532,6.46,3297.35471
1539,81.7,65.0,11.12,16255.16198,6.94,119172.7418
1540,81.4,68.0,11.02,15515.75234,7.1,113751.85
1541,81.1,7.0,11.34,2284.58215,7.18,16749.136
1542,88.0,72.0,11.5,17028.52798,7.34,115761.577
1543,86.0,73.0,11.36,2267.252192,7.68,14965.361
1544,83.0,76.0,11.42,2052.393076,8.11,13198.6693
1545,80.0,8.0,11.53,18961.3486,7.34,114293.8433
1546,79.7,82.0,11.75,267.051312,6.8,1618.4928
1547,79.4,85.0,11.98,15345.4907,7.75,89739.7117
1548,78.8,9.0,11.84,1346.246697,7.95,8289.69641
1549,78.7,92.0,12.42,12372.05188,8.2,75716.3518
1550,78.6,92.0,12.61,10111.38928,7.67,65445.8853
1551,78.3,95.0,12.91,910.5062778,8.27,5293.64115
1552,78.0,96.0,12.89,7877.33656,7.4,48179.4285
1553,77.8,98.0,13.14,8246.130437,7.48,48735.99549
1635,81.4,55.0,8.49,409.6000248,9.75,2618.92599
1636,81.1,57.0,8.58,374.2947283,9.89,2393.1888
1637,81.0,58.0,7.67,343.123395,9.95,2193.8836
1638,87.0,59.0,6.91,3601.287457,9.6,22821.847
1639,83.0,62.0,7.91,278.0687051,8.3,2187.79469
1640,82.0,63.0,7.38,335.5180568,8.33,2675.58259
1641,80.0,64.0,7.14,2655.573684,8.15,21928.767
1642,79.6,65.0,7.45,2578.888314,8.36,19375.5696
1643,79.3,66.0,8.84,2380.699796,8.93,16671.5672
1644,79.0,67.0,6.41,2247.035692,8.83,15835.34667
1645,78.7,69.0,6.53,203.3157499,8.46,1519.5497
1646,78.5,71.0,6.7,1678.392773,8.6,13689.98999
1647,78.2,75.0,5.73,1552.740429,7.86,11843.9392
1648,77.8,79.0,5.62,130.0150391,7.11,1121.78636
1649,77.5,8.0,5.59,134.3547253,6.83,1139.5651
1830,81.7,58.0,0.01,1491.703605,1.9,52157.4687
1831,81.4,6.0,8.68,1475.030397,11.4,51574.48942
1832,81.1,62.0,9.05,1162.656768,11.1,49474.7561
1833,81.1,63.0,8.96,1047.370244,1.53,5354.6536
1834,88.0,64.0,9.33,1035.621437,1.48,5338.25483
1835,86.0,65.0,9.23,96.8585885,1.29,519.349
1836,83.0,68.0,9.62,10873.40554,9.57,56928.8248
1837,82.0,68.0,9.53,9689.732784,9.36,51241.31562
1838,79.8,71.0,9.79,8344.010392,9.36,44453.97119
1839,79.4,72.0,9.69,6577.508136,9.6,41577.169
1840,79.2,77.0,9.56,5170.130703,8.52,39954.64222
1841,78.7,8.0,9.56,4472.6114,8.46,35245.1647
1842,78.4,81.0,9.68,3455.197053,8.34,28817.32321
1843,78.3,82.0,9.95,3054.515582,7.79,26584.12169
1844,78.1,84.0,10.06,2944.640134,7.42,25921.12794
1846,81.5,67.0,9.07,1040.278436,11.3,4453.24673
1847,81.3,69.0,9.18,10019.0763,11.17,42889.88141
1848,81.1,7.0,9.2,924.5653683,11.53,3997.25624
1849,86.0,72.0,9.47,8342.405764,11.24,38426.5581
1850,89.0,71.0,9.62,6664.148708,11.2,33691.34837
1851,85.0,73.0,9.24,63.57705167,11.21,282.94193
1852,81.0,75.0,9.49,6761.288966,1.7,31287.77865
1853,81.0,76.0,9.19,606.3106561,8.35,3259.73471
1854,79.9,76.0,9.34,496.2228007,8.65,2667.86452
1855,79.9,78.0,9.31,491.055852,8.25,2775.89515
1856,79.2,79.0,9.15,442.3774869,7.89,2542.39935
1857,79.1,82.0,8.91,3661.792922,7.71,21913.7817
1858,78.7,83.0,9.13,2892.257132,7.89,16874.31232
1859,78.5,83.0,8.75,2205.98595,7.58,13882.85683
1860,78.6,87.0,8.91,2143.021083,7.47,13641.1272
1911,81.6,61.0,6.06,177.6382878,9.72,975.49856
1912,81.5,62.0,6.21,234.782883,9.39,1291.435
1913,81.3,61.0,6.21,2094.19096,9.16,11563.727
1914,81.1,67.0,6.53,277.3550522,9.14,1574.9861
1915,81.0,66.0,6.59,15268.06445,9.26,87646.75346
1916,89.0,67.0,6.68,142.3749426,9.49,817.77681
1917,86.0,67.0,6.75,1707.130633,8.4,9688.5961
1918,85.0,67.0,6.6,14829.41215,8.58,85128.65759
1919,84.0,7.0,6.47,12829.25408,8.43,74114.69715
1920,81.0,73.0,6.37,11792.53465,8.89,66775.3944
1921,79.8,77.0,6.22,1009.825011,9.44,5757.26916
1922,79.4,78.0,6.04,880.7380617,9.85,5111.65445
1923,78.9,81.0,5.89,749.6823382,9.62,4361.1538
1924,78.8,82.0,5.49,6356.827282,8.65,38549.58934
1925,78.5,85.0,5.67,6191.211908,8.27,38146.71539
2040,77.3,12.0,10.71,243.808475,6.35,14341.675
2041,77.1,12.0,11.63,23.43533487,6.4,1378.54911
2042,76.8,125.0,10.81,230.040097,6.62,13145.1484
2043,76.7,128.0,10.93,250.0773782,6.7,13893.18768
2044,76.3,13.0,10.59,220.4916851,6.88,12599.52486
2045,75.7,136.0,10.7,1299.159757,7.12,11527.59323
2046,75.5,14.0,11.4,15.71474837,6.88,141.44688
2047,75.3,144.0,10.9,14.3042452,6.28,1126.31852
2048,75.2,144.0,10.4,9.1455559,6.17,94.7726
2049,75.0,144.0,9.5,79.41502672,6.2,821.251569
2050,74.9,143.0,9.19,648.0743453,6.19,6681.178818
2051,74.7,142.0,9.06,542.0235,6.22,5693.52416
2052,74.5,145.0,8.02,516.0554391,6.32,5196.932921
2053,74.2,149.0,7.74,466.7383106,5.86,4981.198619
2054,73.7,153.0,8.4,412.4323974,5.5,4492.72764
2056,89.0,78.0,9.88,271.2545531,9.5,2277.53613
2057,86.0,79.0,10.0,2698.01817,9.55,21618.73534
2058,83.0,81.0,11.96,331.457035,9.74,2577.4264
2059,82.0,85.0,11.92,3108.288623,1.7,23196.18375
2060,79.6,88.0,12.25,3119.349824,1.44,22538.6548
2061,79.3,9.0,12.03,337.1023516,1.42,2363.97161
2062,79.0,92.0,12.35,3652.869332,9.9,24815.6884
2063,78.7,94.0,12.57,333.3569124,9.62,2278.5845
2064,78.5,96.0,13.11,2884.020194,9.67,19821.44463
2065,77.7,11.0,13.33,2813.985285,9.98,18784.9485
2066,78.0,99.0,13.45,276.0999798,9.84,1845.5881
2067,77.3,15.0,14.21,2283.891796,9.54,15772.7334
2068,77.2,17.0,12.0,1904.00231,9.15,12882.28897
2069,76.9,11.0,12.22,1657.328352,9.1,11729.14616
2070,76.6,11.0,11.89,167.3280168,9.14,1152.39681
2120,74.8,135.0,0.01,1.576409172,5.57,12.27733
2121,74.6,138.0,9.59,1230.748231,5.6,9585.266593
2122,74.4,138.0,9.58,1078.358105,5.48,8558.39766
2123,74.3,139.0,9.1,10.32588862,5.53,92.277825
2124,73.4,153.0,9.0,983.2518091,5.83,8297.483621
2125,73.1,158.0,10.4,14.96373588,5.56,822.18329
2126,73.1,159.0,11.9,128.0805702,5.33,1136.47356
2127,72.9,154.0,10.6,919.1673438,5.21,8214.185378
2128,72.5,157.0,8.51,665.6427546,5.6,5828.745662
2129,71.9,162.0,7.68,615.4030781,5.47,4676.315183
2130,71.7,165.0,9.82,431.3250367,5.43,3552.92452
2131,71.1,174.0,8.78,375.1740323,5.3,2774.95586
2132,77.0,178.0,9.62,37.82275031,4.57,2124.873613
2133,78.0,179.0,9.78,180.1095132,4.36,1839.72945
2134,77.0,175.0,10.16,152.6368899,4.33,1668.162731
2314,82.9,56.0,1.83,7971.646361,4.92,56336.7234
2315,82.7,57.0,1.83,714.3441019,4.53,5629.18914
2316,82.5,59.0,1.89,6041.858981,4.22,54431.16199
2317,82.2,6.0,1.8,638.0001097,3.93,53166.67581
2318,82.0,61.0,1.84,4540.543752,3.96,46569.67951
2319,81.7,62.0,1.73,462.9306986,4.27,38577.55822
2320,81.4,64.0,1.7,3404.13099,3.91,39721.4818
2321,81.1,65.0,1.6,3082.973535,3.46,39223.58187
2322,87.0,66.0,1.55,2639.376955,3.66,33579.85948
2323,82.0,69.0,1.49,2356.731479,3.74,29869.85398
2324,79.7,71.0,1.45,204.2481892,3.17,2745.27136
2325,79.3,73.0,1.43,2263.068326,3.63,23573.6284
2326,79.0,74.0,2.16,142.0989818,2.84,2216.83279
2327,78.7,76.0,2.08,1003.366877,2.37,21577.7823
2328,78.3,78.0,2.03,1855.828806,2.71,23792.677
2346,87.0,76.0,10.46,31.13492794,9.23,242.67286
2347,85.0,78.0,9.53,259.7786785,9.29,2315.31799
2348,82.0,81.0,10.95,3283.024864,9.37,22486.47167
2349,79.8,84.0,10.61,3343.026219,9.8,24985.24827
2350,79.5,87.0,10.32,3187.496219,9.7,23437.4722
2351,79.1,9.0,10.52,3505.389434,9.38,24633.79785
2352,78.9,96.0,10.94,392.9588536,8.47,2751.8127
2353,78.3,12.0,11.02,3256.724028,7.98,23841.31792
2354,78.1,17.0,12.26,2724.17807,8.42,19726.1265
2355,77.5,14.0,11.14,2503.714258,8.5,18169.1891
2356,77.2,113.0,10.0,235.3785281,8.47,1726.9151
2357,76.5,119.0,11.58,203.3252124,8.77,1488.47154
2358,76.6,117.0,9.29,1617.473418,8.62,11814.9994
2359,76.2,124.0,10.8,196.3026243,8.57,1479.29634
2360,76.0,122.0,11.9,161.4473853,8.26,1227.73677
2426,82.6,58.0,0.01,42.98847625,9.3,296.47225
2427,82.4,6.0,9.25,423.680459,9.1,2921.9342
2428,82.0,61.0,9.35,4255.781693,9.39,28562.29324
2429,82.1,63.0,9.62,4873.8188,9.48,31834.21816
2430,81.9,64.0,9.78,578.7417172,9.56,3736.228
2431,81.6,66.0,9.99,5047.254058,9.52,32333.4661
2432,81.3,7.0,10.24,5596.535203,8.8,35578.73619
2433,89.0,72.0,11.05,510.9327012,8.36,3279.414
2434,88.0,73.0,11.86,4460.390006,8.23,28482.6948
2435,81.0,77.0,11.92,405.4475981,8.12,2651.71745
2436,81.0,79.0,11.96,3715.370095,8.5,24918.64584
2437,79.4,83.0,12.09,3205.019918,7.99,21495.7741
2438,79.5,83.0,12.26,228.3543024,7.25,1719.53541
2439,79.4,84.0,9.86,2044.169761,7.24,15323.6114
2440,79.1,86.0,11.12,1934.398154,7.21,14676.769
2506,82.3,54.0,7.3,1142.212403,11.93,5918.19898
2507,81.9,57.0,7.3,1212.666327,11.97,6283.24522
2508,81.7,57.0,7.4,10947.02327,11.8,57134.777
2509,81.7,58.0,7.4,11477.6671,11.7,59593.28711
2510,81.5,58.0,7.2,778.2477467,9.47,5276.25591
2511,81.4,62.0,7.3,682.1070608,9.94,4627.592
2512,81.1,62.0,6.9,8105.590882,9.23,55746.84238
2513,89.0,63.0,6.9,7593.391622,8.92,53324.37937
2514,88.0,64.0,6.5,6369.516139,8.95,46256.4716
2515,85.0,66.0,6.5,599.0392403,9.6,4385.35315
2516,83.0,7.0,6.6,5793.363644,9.9,42442.2245
2517,82.0,69.0,6.9,5067.411418,9.31,36961.42537
2518,79.9,71.0,6.9,3998.09987,9.23,29571.7446
2519,79.8,73.0,6.6,3554.546434,8.86,26969.24457
2520,79.6,73.0,6.2,3689.7273,8.18,29283.55
2522,83.2,51.0,9.61,19479.91161,11.66,85814.58857
2523,83.0,52.0,9.73,19099.04506,11.71,84658.88768
2524,82.7,54.0,9.86,18379.32974,11.59,83164.38795
2525,82.6,55.0,9.99,18822.86732,11.21,87998.44468
2526,82.3,57.0,10.01,2198.590865,11.7,74276.71842
2527,82.1,6.0,10.15,14714.82588,11.0,69672.471
2528,82.0,6.0,10.29,2084.255535,1.29,72119.5687
2529,81.7,63.0,10.44,11892.33429,1.21,63223.46778
2530,81.5,65.0,10.24,10598.08187,1.39,57348.92788
2531,81.1,66.0,10.15,10055.34981,1.86,54797.54663
2532,81.0,69.0,10.55,9495.540576,1.96,53255.97631
2533,85.0,72.0,10.82,842.2768087,1.93,4796.56497
2534,84.0,74.0,10.85,6853.628494,1.61,41336.72192
2535,82.0,75.0,11.12,6478.346135,1.28,38538.64447
2536,79.7,78.0,11.26,5834.582046,9.91,37813.23426
